Case:,Screen,start,end,duration
Helen,111,0.002002315,0.002164352,0.000162037
,240,0.002164352,0.002280093,0.000115741
,57,0.002280093,0.003171296,0.000891204
Subject:,240,0.003171296,0.003564815,0.000393519
Cassie,225,0.003564815,0.003657407,9.26E-05
,220,0.003657407,0.003888889,0.000231481
,223,0.003888889,0.004027778,0.000138889
,106,0.004027778,0.00412037,9.26E-05
,1,0.00412037,0.004143519,2.31E-05
,1,0.004143519,0.004398148,0.00025463
,240,0.004398148,0.004513889,0.000115741
,2,0.004513889,0.004814815,0.000300926
,212,0.004814815,0.004976852,0.000162037
,35,0.004976852,0.005081019,0.000104167
,10,0.005081019,0.005578704,0.000497685
,113,0.005578704,0.005925926,0.000347222
,250,0.005925926,0.00599537,6.94E-05
,113,0.00599537,0.006157407,0.000162037
,212,0.006157407,0.006296296,0.000138889
,220,0.006296296,0.006516204,0.000219907
,113,0.006516204,0.006585648,6.94E-05
,250,0.006585648,0.006643519,5.79E-05
,113,0.006643519,0.006782407,0.000138889
,220,0.006782407,0.006875,9.26E-05
,209,0.006875,0.007,0.000125
