Case:,Screen,start,end,duration
Helen,111,0.00237166,0.002443272,0.000071612
,2,0.002443272,0.00248943,4.6158E-05
,208,0.00248943,0.002548897,5.9467E-05
Subject:,10,0.002548897,0.003059868,0.000510971
Heath,208,0.003059868,0.003086003,0.000026135
,111,0.003086003,0.004233263,0.00114726
,24,0.004233263,0.004539662,0.000306399
,111,0.004539662,0.004896618,0.000356956
,24,0.004896618,0.005000314,0.000103696
,226,0.005000314,0.005048878,4.8564E-05
,2,0.005048878,0.005173242,0.000124364
,24,0.005173242,0.00545455,0.000281308
,2,0.00545455,0.005477756,2.3206E-05
,205,0.005477756,0.005558045,8.0289E-05
,69,0.005558045,0.005688774,0.000130729
,111,0.005688774,0.005723635,3.4861E-05
,10,0.005723635,0.005767212,4.3577E-05
,111,0.005767212,0.005814966,4.7754E-05
,69,0.005814966,0.006504387,0.000689421
,24,0.006504387,0.006830197,0.00032581
,111,0.006830197,0.00723043,0.000400233
,69,0.00723043,0.007296645,6.6215E-05
,220,0.007296645,0.007420372,0.000123727
,105,0.007420372,0.00745889,3.8518E-05
,221,0.00745889,0.007493647,3.4757E-05
,224,0.007493647,0.007525592,3.1945E-05
,17,0.007525592,0.007650395,0.000124803
,120,0.007650395,0.007699319,4.8924E-05
,81,0.007699319,0.007829807,0.000130488
,120,0.007829807,0.007847222,1.7415E-05
,110,0.007847222,0.00810842,0.000261198
,24,0.00810842,0.008355064,0.000246644
,111,0.008355064,0.008511245,0.000156181
