Case:,Screen,start,end,duration
Helen,106,0.001911242,0.002078026,0.000166784
,10,0.002078026,0.003719268,0.001641242
,106,0.003719268,0.003806791,8.75231E-05
Subject:,9,0.003806791,0.005063148,0.001256356
Kate,1,0.005063148,0.005187291,0.000124144
,51,0.005187291,0.005309421,0.00012213
,1,0.005309421,0.005534017,0.000224596
,101,0.005534017,0.005788696,0.000254679
,1,0.005788696,0.005870502,8.18056E-05
,5,0.005870502,0.005906358,3.58565E-05
,9,0.005906358,0.005935502,2.91435E-05
,10,0.005935502,0.0066336,0.000698098
,1,0.0066336,0.006683943,5.03428E-05
,101,0.006683943,0.006969652,0.000285709
,116,0.006969652,0.00701739,4.77387E-05
,260,0.00701739,0.007061071,4.36806E-05
,116,0.007061071,0.007158594,9.75231E-05
,72,0.007158594,0.007328127,0.000169533
,116,0.007328127,0.007465701,0.000137574
,9,0.007465701,0.008083945,0.000618244
,10,0.008083945,0.010226992,0.002143047
