Case:,Screen,start,end,duration
Helen,110,0.001412037,0.001582913,0.000170876
,113,0.001582913,0.00168437,0.000101457
,10,0.00168437,0.001695509,1.11391E-05
Subject:,110,0.001695509,0.001779269,8.376E-05
Jason,241,0.001779269,0.001817749,3.84803E-05
,10,0.001817749,0.002170149,0.000352399
,241,0.002170149,0.002253598,8.34491E-05
,113,0.002253598,0.00228747,3.38727E-05
,1,0.002383925,0.002407409,2.34834E-05
,19,0.002407409,0.002425154,1.77453E-05
,91,0.002425154,0.00252097,9.58157E-05
,113,0.002641233,0.00296719,0.000325956
,250,0.00296719,0.003099604,0.000132415
,113,0.003099604,0.00349537,0.000395766
,241,0.00349537,0.003575199,7.98286E-05
,209,0.003575199,0.003616524,4.13255E-05
,221,0.003616524,0.00369171,7.51852E-05
,220,0.00369171,0.003725436,3.37269E-05
,17,0.003725436,0.003781802,5.63657E-05
,105,0.003781802,0.003862026,8.02235E-05
,110,0.003862026,0.003913229,5.12037E-05
,241,0.003913229,0.00394529,3.20602E-05
,110,0.00394529,0.004221841,0.000276551
,220,0.004221841,0.004676679,0.000454838
,209,0.004676679,0.004959271,0.000282593
,221,0.004959271,0.005216609,0.000257338
,17,0.005216609,0.005292558,7.59491E-05
,105,0.005292558,0.005486111,0.000193553
,223,0.005486111,0.005621516,0.000135405
,2,0.005621516,0.006190383,0.000568866
,226,0.006190383,0.006273611,8.32284E-05
,10,0.006273611,0.00635711,8.34989E-05
,226,0.00635711,0.006445321,8.82106E-05
,110,0.006445321,0.007372685,0.000927365
,241,0.007372685,0.008611111,0.001238426
,110,0.008611111,0.008773148,0.000162037
,91,0.008773148,0.008842593,6.94444E-05
,51,0.008842593,0.008888889,4.62963E-05
,20,0.008888889,0.008935185,4.62963E-05
,51,0.008935185,0.008958333,2.31481E-05
,10,0.008958333,0.009085648,0.000127315
,110,0.009085648,0.009203722,0.000118074
,220,0.009203722,0.00933106,0.000127338
,221,0.00933106,0.009595204,0.000264144
