Case:,Screen,start,end,duration
Helen,110,0.002071759,0.002175926,0.000104167
,5,0.002175926,0.00224537,6.94444E-05
,28,0.00224537,0.003657407,0.001412037
Subject:,8,0.003657407,0.004050926,0.000393519
Patrick,110,0.004050926,0.004166667,0.000115741
,17,0.004166667,0.004282407,0.000115741
,209,0.004282407,0.004363426,8.10185E-05
,2,0.004363426,0.004583333,0.000219907
,6,0.004583333,0.004606481,2.31482E-05
,75,0.004606481,0.00474537,0.000138889
,28,0.00474537,0.00625,0.00150463
,28,0.00625,0.006284722,3.47222E-05
,4,0.006284722,0.006469907,0.000185185
,75,0.006469907,0.006770833,0.000300926
,4,0.006770833,0.007430556,0.000659722
,28,0.007430556,0.008356481,0.000925926
,75,0.008356481,0.008414352,5.78704E-05
,2,0.008414352,0.008726852,0.0003125
,10,0.008726852,0.008831019,0.000104167
,14,0.008831019,0.008900463,6.94444E-05
