Case:,Screen,start,end,duration
Helen,110,0.001467224,0.00151424,4.70156E-05
,9,0.00151424,0.002272342,0.000758102
,10,0.002272342,0.002925304,0.000652962
Subject:,9,0.002925304,0.002937967,1.2663E-05
Kerry,10,0.002937967,0.0031166,0.000178633
,9,0.0031166,0.003134795,1.81944E-05
,1,0.003134795,0.003564031,0.000429236
,55,0.003564031,0.003607781,4.375E-05
,17,0.003607781,0.003747387,0.000139606
,113,0.003747387,0.003819031,7.16435E-05
,9,0.003819031,0.003850906,3.1875E-05
,240,0.003850906,0.004297572,0.000446667
,2,0.004297572,0.004337688,4.01157E-05
,220,0.004337688,0.004763822,0.000426134
,113,0.004763822,0.005470466,0.000706644
,220,0.005470466,0.005514285,4.38194E-05
,9,0.005514285,0.005758776,0.000244491
,1,0.005758776,0.006168892,0.000410116
,9,0.006168892,0.007003852,0.00083496
,17,0.007003852,0.007023389,1.9537E-05
,2,0.007023389,0.007672377,0.000648988
,109,0.007672377,0.007738881,6.65046E-05
,8,0.007738881,0.0081324,0.000393519
,109,0.0081324,0.008177029,4.46296E-05
,207,0.008177029,0.010636574,0.002459545
,17,0.010636574,0.010706019,6.94444E-05
,2,0.010706019,0.010740741,3.47222E-05
,205,0.010740741,0.011273148,0.000532407
,1,0.011273148,0.01130787,3.47222E-05
,19,0.01130787,0.011573378,0.000265508
,49,0.011573378,0.011601897,2.85185E-05
,20,0.011601897,0.011658484,5.65873E-05
,101,0.011658484,0.011664373,5.88956E-06
,108,0.011664373,0.011906169,0.000241796
