Case:,Screen,start,end,duration
Helen,110,0.002223863,0.003142489,0.000918625
,5,0.003142489,0.003476574,0.000334086
,28,0.003476574,0.004200012,0.000723438
Subject:,113,0.004200012,0.004287315,8.73032E-05
Andrew,81,0.004287315,0.004368739,8.14236E-05
,250,0.004368739,0.004404884,3.61458E-05
,81,0.004404884,0.004552743,0.000147859
,28,0.004552743,0.005458056,0.000905313
,110,0.005458056,0.00569478,0.000236725
,17,0.00569478,0.006035394,0.000340613
,1,0.006035394,0.006093033,5.76389E-05
,101,0.006093033,0.006242755,0.000149722
,17,0.006242755,0.006318357,7.56019E-05
,9,0.006318357,0.006573692,0.000255336
,19,0.006573692,0.006786366,0.000212674
,110,0.006786366,0.007007361,0.000220995
,2,0.007007361,0.007510857,0.000503495
,21,0.007510857,0.007555324,4.44676E-05
,2,0.007555324,0.007997847,0.000442523
,240,0.007997847,0.008174155,0.000176308
,110,0.008174155,0.008239259,6.51042E-05
,10,0.008239259,0.008700428,0.000461169
,110,0.008700428,0.008774966,7.4537E-05
,17,0.008774966,0.008917257,0.000142292
,110,0.008917257,0.009116378,0.00019912
,9,0.009116378,0.009845961,0.000729583
,110,0.009845961,0.010558982,0.000713021
,2,0.010558982,0.010687905,0.000128924
,110,0.010687905,0.010715209,2.73032E-05
,6,0.010715209,0.010725776,1.05671E-05
,2,0.010725776,0.011032604,0.000306829
,209,0.011032604,0.01117463,0.000142025
,110,0.01117463,0.011919109,0.000744479
,9,0.011919109,0.012386597,0.000467488
,8,0.012386597,0.013038575,0.000651977
